time,mu,stable_1
0.0,-1.0,0
0.010000000000005116,-1.0,0
0.01999999999999602,-1.0,0
0.030000000000001137,-1.0,0
0.04000000000000625,-1.0,0
0.04999999999999716,-1.0,0
0.060000000000002274,-1.0,0
0.07000000000000739,-1.0,0
0.0799999999999983,-1.0,0
0.09000000000000341,-1.0,0
0.10000000000000853,-1.0,0
0.10999999999999943,-1.0,0
0.12000000000000455,-1.0,0
0.12999999999999545,-1.0,0
0.14000000000000057,-1.0,0
0.15000000000000568,-1.0,0
0.1599999999999966,-1.0,0
0.1700000000000017,-1.0,0
0.18000000000000682,-1.0,0
0.18999999999999773,-1.0,0
0.20000000000000284,-1.0,0
0.21000000000000796,-1.0,0
0.21999999999999886,-1.0,0
0.23000000000000398,-1.0,0
0.2400000000000091,-1.0,0
0.25,-1.0,0
0.2600000000000051,-1.0,0
0.269999999999996,-1.0,0
0.28000000000000114,-1.0,0
0.29000000000000625,-1.0,0
0.29999999999999716,-1.0,0
0.3100000000000023,-1.0,0
0.3200000000000074,-1.0,0
0.3299999999999983,-1.0,0
0.3400000000000034,-1.0,0
0.3500000000000085,-1.0,0
0.35999999999999943,-1.0,0
0.37000000000000455,-1.0,0
0.37999999999999545,-1.0,0
0.39000000000000057,-1.0,0
0.4000000000000057,-1.0,0
0.4099999999999966,-1.0,0
0.4200000000000017,-1.0,0
0.4300000000000068,-1.0,0
0.4399999999999977,-1.0,0
0.45000000000000284,-1.0,0
0.46000000000000796,-1.0,0
0.46999999999999886,-1.0,0
0.480000000000004,-1.0,0
0.4900000000000091,-1.0,0
0.5,-1.0,0
0.5100000000000051,-1.0,0
0.519999999999996,-1.0,0
0.5300000000000011,-1.0,0
0.5400000000000063,-1.0,0
0.5499999999999972,-1.0,0
0.5600000000000023,-1.0,0
0.5700000000000074,-1.0,0
0.5799999999999983,-1.0,0
0.5900000000000034,-1.0,0
0.6000000000000085,-1.0,0
0.6099999999999994,-1.0,0
0.6200000000000045,-1.0,0
0.6299999999999955,-1.0,0
0.6400000000000006,-1.0,0
0.6500000000000057,-1.0,0
0.6599999999999966,-1.0,0
0.6700000000000017,-1.0,0
0.6800000000000068,-1.0,0
0.6899999999999977,-1.0,0
0.7000000000000028,-1.0,0
0.710000000000008,-1.0,0
0.7199999999999989,-1.0,0
0.730000000000004,-1.0,0
0.7400000000000091,-1.0,0
0.75,-1.0,0
0.7600000000000051,-1.0,0
0.769999999999996,-1.0,0
0.7800000000000011,-1.0,0
0.7900000000000063,-1.0,0
0.7999999999999972,-1.0,0
0.8100000000000023,-1.0,0
0.8200000000000074,-1.0,0
0.8299999999999983,-1.0,0
0.8400000000000034,-1.0,0
0.8500000000000085,-1.0,0
0.8599999999999994,-1.0,0
0.8700000000000045,-1.0,0
0.8799999999999955,-1.0,0
0.8900000000000006,-1.0,0
0.9000000000000057,-1.0,0
0.9099999999999966,-1.0,0
0.9200000000000017,-1.0,0
0.9300000000000068,-1.0,0
0.9399999999999977,-1.0,0
0.9500000000000028,-1.0,0
0.960000000000008,-1.0,0
0.9699999999999989,-1.0,0
0.980000000000004,-1.0,0
0.9900000000000091,-1.0,0
1.0,-1.0,0
1.0100000000000051,-1.0,0
1.019999999999996,-1.0,0
1.0300000000000011,-1.0,0
1.0400000000000063,-1.0,0
1.0499999999999972,-1.0,0
1.0600000000000023,-1.0,0
1.0700000000000074,-1.0,0
1.0799999999999983,-1.0,0
1.0900000000000034,-1.0,0
1.1000000000000085,-1.0,0
1.1099999999999994,-1.0,0
1.1200000000000045,-1.0,0
1.1299999999999955,-1.0,0
1.1400000000000006,-1.0,0
1.1500000000000057,-1.0,0
1.1599999999999966,-1.0,0
1.1700000000000017,-1.0,0
1.1800000000000068,-1.0,0
1.1899999999999977,-1.0,0
1.2000000000000028,-1.0,0
1.210000000000008,-1.0,0
1.2199999999999989,-1.0,0
1.230000000000004,-1.0,0
1.240000000000009,-1.0,0
1.25,-1.0,0
1.2600000000000051,-1.0,0
1.269999999999996,-1.0,0
1.2800000000000011,-1.0,0
1.2900000000000063,-1.0,0
1.2999999999999972,-1.0,0
1.3100000000000023,-1.0,0
1.3200000000000074,-1.0,0
1.3299999999999983,-1.0,0
1.3400000000000034,-1.0,0
1.3500000000000085,-1.0,0
1.3599999999999994,-1.0,0
1.3700000000000045,-1.0,0
1.3799999999999955,-1.0,0
1.3900000000000006,-1.0,0
1.4000000000000057,-1.0,0
1.4099999999999966,-1.0,0
1.4200000000000017,-1.0,0
1.4300000000000068,-1.0,0
1.4399999999999977,-1.0,0
1.4500000000000028,-1.0,0
1.460000000000008,-1.0,0
1.4699999999999989,-1.0,0
1.480000000000004,-1.0,0
1.490000000000009,-1.0,0
1.5,-1.0,0
1.5100000000000051,-1.0,0
1.519999999999996,-1.0,0
1.5300000000000011,-1.0,0
1.5400000000000063,-1.0,0
1.5499999999999972,-1.0,0
1.5600000000000023,-1.0,0
1.5700000000000074,-1.0,0
1.5799999999999983,-1.0,0
1.5900000000000034,-1.0,0
1.6000000000000085,-1.0,0
1.6099999999999994,-1.0,0
1.6200000000000045,-1.0,0
1.6299999999999955,-1.0,0
1.6400000000000006,-1.0,0
1.6500000000000057,-1.0,0
1.6599999999999966,-1.0,0
1.6700000000000017,-1.0,0
1.6800000000000068,-1.0,0
1.6899999999999977,-1.0,0
1.7000000000000028,-1.0,0
1.710000000000008,-1.0,0
1.7199999999999989,-1.0,0
1.730000000000004,-1.0,0
1.740000000000009,-1.0,0
1.75,-1.0,0
1.7600000000000051,-1.0,0
1.769999999999996,-1.0,0
1.7800000000000011,-1.0,0
1.7900000000000063,-1.0,0
1.7999999999999972,-1.0,0
1.8100000000000023,-1.0,0
1.8200000000000074,-1.0,0
1.8299999999999983,-1.0,0
1.8400000000000034,-1.0,0
1.8500000000000085,-1.0,0
1.8599999999999994,-1.0,0
1.8700000000000045,-1.0,0
1.8799999999999955,-1.0,0
1.8900000000000006,-1.0,0
1.9000000000000057,-1.0,0
1.9099999999999966,-1.0,0
1.9200000000000017,-1.0,0
1.9300000000000068,-1.0,0
1.9399999999999977,-1.0,0
1.9500000000000028,-1.0,0
1.960000000000008,-1.0,0
1.9699999999999989,-1.0,0
1.980000000000004,-1.0,0
1.990000000000009,-1.0,0
2.0,-1.0,0
2.010000000000005,-1.0,0
2.019999999999996,-1.0,0
2.030000000000001,-1.0,0
