time,x,mu
0,0.01294809072608959,-0.8330948974725798
1,-0.0003115591689263587,-0.8314258464473057
2,-0.02039828061308583,-0.8297567954220315
3,-0.012937137067476762,-0.8280877443967573
4,0.006467074827178825,-0.8264186933714831
5,0.009609049159311557,-0.8247496423462088
6,-0.016021163434515002,-0.8230805913209347
7,0.02156192233766609,-0.8214115402956604
8,-0.017633223833334495,-0.8197424892703863
9,0.005906279650025504,-0.818073438245112
10,0.007677350676879033,-0.8164043872198379
11,-0.0016724965058818164,-0.8147353361945636
12,-0.0069114759199491605,-0.8130662851692895
13,0.018091270991373837,-0.8113972341440152
14,0.007294954817536366,-0.8097281831187411
15,0.023156991484726375,-0.8080591320934669
16,-0.012273578255372605,-0.8063900810681927
17,0.01655396928315144,-0.8047210300429184
18,0.004026773580818831,-0.8030519790176442
19,0.020683199919172106,-0.8013829279923701
20,-0.01278934460064771,-0.7997138769670958
21,-0.06949565968738435,-0.7980448259418216
22,-0.01383624228868487,-0.7963757749165474
23,0.03203857380805453,-0.7947067238912733
24,-0.0018583331074451433,-0.793037672865999
25,-0.004897680785086388,-0.7913686218407249
26,0.002054325763949155,-0.7896995708154506
27,-0.028727262510115734,-0.7880305197901765
28,0.000701143270102257,-0.7863614687649022
29,-0.003827194490631314,-0.7846924177396281
30,-0.01337829199305814,-0.7830233667143538
31,0.026226593693156563,-0.7813543156890796
32,-0.009184128704302501,-0.7796852646638054
33,-0.013638116726319096,-0.7780162136385312
34,-0.007185927434107125,-0.776347162613257
35,-0.005832728425619662,-0.7746781115879828
36,0.0067254057371710415,-0.7730090605627087
37,-0.014434382012067737,-0.7713400095374344
38,-0.00638405475392999,-0.7696709585121602
39,-0.02955473990140801,-0.768001907486886
40,0.029537874061329586,-0.7663328564616119
41,-0.003263247040795491,-0.7646638054363376
42,-0.018509950837612896,-0.7629947544110633
43,0.023437918749361936,-0.7613257033857892
44,-0.027369159817676795,-0.759656652360515
45,-0.01161442699219563,-0.7579876013352408
46,0.042198165586640406,-0.7563185503099666
47,-0.019633576608942067,-0.7546494992846924
48,-0.01751639437340142,-0.7529804482594182
49,0.02449657981193656,-0.751311397234144
50,-0.029841824809957722,-0.7496423462088698
51,-0.0015047481485806948,-0.7479732951835956
52,0.021069420859813448,-0.7463042441583214
53,0.009289093584096976,-0.7446351931330473
54,-0.017296975990953214,-0.742966142107773
55,0.02165138206128065,-0.7412970910824987
56,0.019809632602022953,-0.7396280400572246
57,-0.041739771934391864,-0.7379589890319505
58,-0.0054575292946346405,-0.7362899380066762
