time,mu,stable_1,stable_2,stable_3,unstable_1
0.0,-0.8333309523469383,0.0,,,
0.010000000000005116,-0.833314285442173,0.0,,,
0.01999999999999602,-0.8332976185374077,0.0,,,
0.030000000000001137,-0.8332809516326424,0.0,,,
0.04000000000000625,-0.8332642847278771,0.0,,,
0.04999999999999716,-0.8332476178231117,0.0,,,
0.060000000000002274,-0.8332309509183464,0.0,,,
0.07000000000000739,-0.8332142840135811,0.0,,,
0.0799999999999983,-0.8331976171088158,0.0,,,
0.09000000000000341,-0.8331809502040506,0.0,,,
0.10000000000000853,-0.8331642832992852,0.0,,,
0.10999999999999943,-0.83314761639452,0.0,,,
0.12000000000000455,-0.8331309494897546,0.0,,,
0.12999999999999545,-0.8331142825849893,0.0,,,
0.14000000000000057,-0.833097615680224,0.0,,,
0.15000000000000568,-0.8330809487754587,0.0,,,
0.1599999999999966,-0.8330642818706934,0.0,,,
0.1700000000000017,-0.833047614965928,0.0,,,
0.18000000000000682,-0.8330309480611627,0.0,,,
0.18999999999999773,-0.8330142811563974,0.0,,,
0.20000000000000284,-0.8329976142516322,0.0,,,
0.21000000000000796,-0.8329809473468668,0.0,,,
0.21999999999999886,-0.8329642804421016,0.0,,,
0.23000000000000398,-0.8329476135373363,0.0,,,
0.2400000000000091,-0.832930946632571,0.0,,,
0.25,-0.8329142797278056,0.0,,,
0.2600000000000051,-0.8328976128230403,0.0,,,
0.269999999999996,-0.832880945918275,0.0,,,
0.28000000000000114,-0.8328642790135097,0.0,,,
0.29000000000000625,-0.8328476121087444,0.0,,,
0.29999999999999716,-0.832830945203979,0.0,,,
0.3100000000000023,-0.8328142782992138,0.0,,,
0.3200000000000074,-0.8327976113944484,0.0,,,
0.3299999999999983,-0.8327809444896832,0.0,,,
0.3400000000000034,-0.8327642775849179,0.0,,,
0.3500000000000085,-0.8327476106801526,0.0,,,
0.35999999999999943,-0.8327309437753873,0.0,,,
0.37000000000000455,-0.8327142768706219,0.0,,,
0.37999999999999545,-0.8326976099658566,0.0,,,
0.39000000000000057,-0.8326809430610913,0.0,,,
0.4000000000000057,-0.832664276156326,0.0,,,
0.4099999999999966,-0.8326476092515607,0.0,,,
0.4200000000000017,-0.8326309423467955,0.0,,,
0.4300000000000068,-0.8326142754420301,0.0,,,
0.4399999999999977,-0.8325976085372648,0.0,,,
0.45000000000000284,-0.8325809416324995,0.0,,,
0.46000000000000796,-0.8325642747277342,0.0,,,
0.46999999999999886,-0.8325476078229689,0.0,,,
0.480000000000004,-0.8325309409182036,0.0,,,
0.4900000000000091,-0.8325142740134382,0.0,,,
0.5,-0.8324976071086729,0.0,,,
0.5100000000000051,-0.8324809402039077,0.0,,,
0.519999999999996,-0.8324642732991423,0.0,,,
0.5300000000000011,-0.8324476063943771,0.0,,,
0.5400000000000063,-0.8324309394896118,0.0,,,
0.5499999999999972,-0.8324142725848465,0.0,,,
0.5600000000000023,-0.8323976056800811,0.0,,,
0.5700000000000074,-0.8323809387753158,0.0,,,
0.5799999999999983,-0.8323642718705505,0.0,,,
0.5900000000000034,-0.8323476049657852,0.0,,,
0.6000000000000085,-0.8323309380610199,0.0,,,
0.6099999999999994,-0.8323142711562546,0.0,,,
0.6200000000000045,-0.8322976042514894,0.0,,,
0.6299999999999955,-0.8322809373467239,0.0,,,
0.6400000000000006,-0.8322642704419587,0.0,,,
0.6500000000000057,-0.8322476035371934,0.0,,,
0.6599999999999966,-0.8322309366324281,0.0,,,
0.6700000000000017,-0.8322142697276628,0.0,,,
0.6800000000000068,-0.8321976028228975,0.0,,,
0.6899999999999977,-0.8321809359181321,0.0,,,
0.7000000000000028,-0.8321642690133668,0.0,,,
0.710000000000008,-0.8321476021086015,0.0,,,
0.7199999999999989,-0.8321309352038362,0.0,,,
0.730000000000004,-0.832114268299071,0.0,,,
0.7400000000000091,-0.8320976013943056,0.0,,,
0.75,-0.8320809344895403,0.0,,,
0.7600000000000051,-0.832064267584775,0.0,,,
0.769999999999996,-0.8320476006800097,0.0,,,
0.7800000000000011,-0.8320309337752444,0.0,,,
0.7900000000000063,-0.8320142668704791,0.0,,,
0.7999999999999972,-0.8319975999657138,0.0,,,
0.8100000000000023,-0.8319809330609484,0.0,,,
0.8200000000000074,-0.8319642661561831,0.0,,,
0.8299999999999983,-0.8319475992514178,0.0,,,
0.8400000000000034,-0.8319309323466526,0.0,,,
0.8500000000000085,-0.8319142654418873,0.0,,,
0.8599999999999994,-0.831897598537122,0.0,,,
0.8700000000000045,-0.8318809316323567,0.0,,,
0.8799999999999955,-0.8318642647275913,0.0,,,
0.8900000000000006,-0.831847597822826,0.0,,,
0.9000000000000057,-0.8318309309180607,0.0,,,
0.9099999999999966,-0.8318142640132954,0.0,,,
0.9200000000000017,-0.8317975971085301,0.0,,,
0.9300000000000068,-0.8317809302037649,0.0,,,
0.9399999999999977,-0.8317642632989994,0.0,,,
0.9500000000000028,-0.8317475963942342,0.0,,,
0.960000000000008,-0.8317309294894689,0.0,,,
0.9699999999999989,-0.8317142625847036,0.0,,,
0.980000000000004,-0.8316975956799383,0.0,,,
0.9900000000000091,-0.831680928775173,0.0,,,
1.0,-0.8316642618704077,0.0,,,
1.0100000000000051,-0.8316475949656423,0.0,,,
1.019999999999996,-0.831630928060877,0.0,,,
1.0300000000000011,-0.8316142611561117,0.0,,,
1.0400000000000063,-0.8315975942513465,0.0,,,
1.0499999999999972,-0.8315809273465811,0.0,,,
1.0600000000000023,-0.8315642604418159,0.0,,,
1.0700000000000074,-0.8315475935370505,0.0,,,
