time,state,smoothing,residuals,variance,ac1,relaxation_time,R_squared,variance_rolling_avg,ac1_rolling_avg,relaxation_time_rolling_avg
0,0.0129480907260895,-0.001049735172723701,0.013997825898813201,,,,,,,
1,-0.0003115591689263,-0.0010621978845928284,0.0007506387156665284,,,,,,,
2,-0.0203982806130858,-0.001073958509734149,-0.019324322103351648,,,,,,,
3,-0.0129371370674767,-0.0010850089029276536,-0.011852128164549046,,,,,,,
4,0.0064670748271788,-0.0010953283982950636,0.007562403225473864,,,,,,,
5,0.0096090491593115,-0.0011048876209876948,0.010713936780299194,,,,,,,
6,-0.016021163434515,-0.0011136609089649895,-0.01490750252555001,,,,,,,
7,0.021561922337666,-0.001121627383025848,0.022683549720691847,,,,,,,
8,-0.0176332238333344,-0.0011287623410272942,-0.016504461492307106,,,,,,,
9,0.0059062796500255,-0.0011350482861127796,0.00704132793613828,,,,,,,
10,0.007677350676879,-0.001140462988554514,0.008817813665433515,,,,,,,
11,-0.0016724965058818,-0.0011449869781938178,-0.0005275095276879823,,,,,,,
12,-0.0069114759199491,-0.0011486064212391104,-0.005762869498709989,,,,,,,
13,0.0180912709913738,-0.0011513079391452425,0.01924257893051904,,,,,,,
14,0.0072949548175363,-0.001153077777836561,0.008448032595372862,,,,,,,
15,0.0231569914847263,-0.0011539121787076036,0.024310903663433903,,,,,,,
16,-0.0122735782553726,-0.001153817426366917,-0.011119760829005683,,,,,,,
17,0.0165539692831514,-0.001152811647095382,0.01770678093024678,,,,,,,
18,0.0040267735808188,-0.0011509138432556597,0.00517768742407446,,,,,,,
19,0.0206831999191721,-0.0011481520808803297,0.02183135200005243,,,,,,,
20,-0.0127893446006477,-0.0011445633364124822,-0.011644781264235217,,,,,,,
21,-0.0694956596873843,-0.001140195902147205,-0.0683554637852371,,,,,,,
22,-0.0138362422886848,-0.0011350947125214471,-0.012701147576163353,,,,,,,
23,0.0320385738080545,-0.0011292919657904757,0.03316786577384497,,,,,,,
24,-0.0018583331074451,-0.001122816101028206,-0.0007355170064168939,,,,,,,
25,-0.0048976807850863,-0.0011157089595343218,-0.0037819718255519786,,,,,,,
26,0.0020543257639491,-0.0011080175758124942,0.003162343339761594,,,,,,,
27,-0.0287272625101157,-0.0010997904801150857,-0.027627472030000613,,,,,,,
28,0.0007011432701022,-0.0010910775510325843,0.0017922208211347845,,,,,,,
29,-0.0038271944906313,-0.0010819210161472231,-0.0027452734744840765,,,,,,,
30,-0.0133782919930581,-0.001072363480783782,-0.012305928512274317,,,,,,,
31,0.0262265936931565,-0.0010624478822770414,0.02728904157543354,,,,,,,
32,-0.0091841287043025,-0.0010522167917409932,-0.008131911912561506,,,,,,,
33,-0.013638116726319,-0.0010417248713090487,-0.012596391855009952,,,,,,,
34,-0.0071859274341071,-0.0010310283091734254,-0.006154899124933675,,,,,,,
35,-0.0058327284256196,-0.001020179592937743,-0.004812548832681857,,,,,,,
36,0.006725405737171,-0.0010092297719388977,0.007734635509109898,,,,,,,
37,-0.0144343820120677,-0.0009982312685435405,-0.01343615074352416,,,,,,,
38,-0.0063840547539299,-0.0009872419630351963,-0.005396812790894704,,,,,,,
39,-0.029554739901408,-0.0009763175499633238,-0.028578422351444678,,,,,,,
40,0.0295378740613295,-0.0009655097819942736,0.030503383843323774,,,,,,,
41,-0.0032632470407954,-0.0009548629296237991,-0.0023083841111716007,,,,,,,
42,-0.0185099508376128,-0.0009444345914891324,-0.017565516246123666,,,,,,,
43,0.0234379187493619,-0.0009342865326149414,0.024372205281976842,,,,,,,
44,-0.0273691598176767,-0.0009244778438718088,-0.026444681973804892,,,,,,,
45,-0.0116144269921956,-0.0009150788534821345,-0.010699348138713465,,,,,,,
46,0.0421981655866404,-0.0009061515276640923,0.04310431711430449,,,,,,,
47,-0.019633576608942,-0.000897754807375447,-0.018735821801566552,,,,,,,
48,-0.0175163943734014,-0.0008899657142421768,-0.016626428659159226,,,,,,,
49,0.0244965798119365,-0.0008828540587277801,0.02537943387066428,,,,,,,
50,-0.0298418248099577,-0.0008764776672332618,-0.02896534714272444,,,,,,,
51,-0.0015047481485806,-0.0008708979398101603,-0.0006338502087704398,,,,,,,
52,0.0210694208598134,-0.0008661491242084964,0.021935569984021897,,,,,,,
53,0.0092890935840969,-0.0008622404192377456,0.010151334003334645,,,,,,,
54,-0.0172969759909532,-0.0008591634262047081,-0.016437812564748494,,,,,,,
55,0.0216513820612806,-0.0008568644821036945,0.022508246543384295,,,,,,,
56,0.0198096326020229,-0.0008551968348258251,0.020664829436848726,,,,,,,
57,-0.0417397719343918,-0.0008539088369583452,-0.04088586309743346,,,,,,,
58,-0.0054575292946346,-0.0008525915316952449,-0.004604937762939355,,,,,,,
59,-0.0272729893846236,-0.000850571356549364,-0.026422418028074237,,,,,,,
60,0.0034380855908447,-0.0008468647537714096,0.004284950344616109,,,,,,,
61,-0.0294384826619859,-0.0008401661078986792,-0.02859831655408722,,,,,,,
62,0.0086284639173404,-0.0008289862273725464,0.009457450144712946,,,,,,,
63,-0.0190282341747273,-0.0008288026139261058,-0.018199431560801196,,,,,,,
64,0.0194664517382258,-0.0008305802640402364,0.020297032002266034,,,,,,,
65,-0.0409395263505558,-0.0008338366732326713,-0.04010568967732313,,,,,,,
66,0.0135809789146164,-0.0008381683162469207,0.014419147230863322,,,,,,,
67,0.0037358244204602,-0.0008432983787491971,0.004579122799209397,,,,,,,
68,-0.0025567203476963,-0.0008490681016868055,-0.0017076522460094945,,,,,,,
69,-0.0094005509844312,-0.0008553871078593177,-0.008545163876571883,,,,,,,
