tau,time_249,time_250,time_251,time_252,time_253,time_254,time_255,time_256,time_257,time_258,time_259,time_260,time_261,time_262,time_263,time_264,time_265,time_266,time_267,time_268,time_269,time_270,time_271,time_272,time_273,time_274,time_275,time_276,time_277,time_278,time_279,time_280,time_281,time_282,time_283,time_284,time_285,time_286,time_287,time_288,time_289,time_290,time_291,time_292,time_293,time_294,time_295,time_296,time_297,time_298,time_299,time_300,time_301,time_302,time_303,time_304,time_305,time_306,time_307,time_308,time_309,time_310,time_311,time_312,time_313,time_314,time_315,time_316,time_317,time_318,time_319,time_320,time_321,time_322,time_323,time_324,time_325,time_326,time_327,time_328,time_329,time_330,time_331,time_332,time_333,time_334,time_335,time_336,time_337,time_338,time_339,time_340,time_341,time_342,time_343,time_344,time_345,time_346,time_347,time_348,time_349,time_350,time_351,time_352,time_353,time_354,time_355,time_356,time_357,time_358,time_359,time_360,time_361,time_362,time_363,time_364,time_365,time_366,time_367,time_368,time_369,time_370,time_371,time_372,time_373,time_374,time_375,time_376,time_377,time_378,time_379,time_380,time_381,time_382,time_383,time_384,time_385,time_386,time_387,time_388,time_389,time_390,time_391,time_392,time_393,time_394,time_395,time_396,time_397,time_398,time_399,time_400,time_401,time_402,time_403,time_404,time_405,time_406,time_407,time_408,time_409,time_410,time_411,time_412,time_413,time_414,time_415,time_416,time_417,time_418,time_419,time_420,time_421,time_422,time_423,time_424,time_425,time_426,time_427,time_428,time_429,time_430,time_431,time_432,time_433,time_434,time_435,time_436,time_437,time_438,time_439,time_440,time_441,time_442,time_443,time_444,time_445,time_446,time_447,time_448,time_449,time_450,time_451,time_452,time_453,time_454,time_455,time_456,time_457,time_458,time_459,time_460,time_461,time_462,time_463,time_464,time_465,time_466,time_467,time_468,time_469,time_470,time_471,time_472,time_473,time_474,time_475,time_476,time_477,time_478,time_479,time_480,time_481,time_482,time_483,time_484,time_485,time_486,time_487,time_488,time_489,time_490,time_491,time_492,time_493,time_494,time_495,time_496,time_497,time_498,time_499,time_500
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,-0.3955554375908623,-0.4002866335222589,-0.40404574211250255,-0.40574567886550206,-0.40680715972036696,-0.40812457285929077,-0.40929480586803973,-0.40922724040826275,-0.4090810695635933,-0.4089266006460683,-0.40867286121047536,-0.4084476927892491,-0.408142580703763,-0.4083285461646204,-0.40878684862983544,-0.40951517483027833,-0.41055352720904864,-0.41146589391863314,-0.4121169412003581,-0.4126979743702915,-0.41308364294622796,-0.4140687908479149,-0.41562705384160936,-0.4170919128181158,-0.41872534908030573,-0.4204779111745449,-0.42195117055129183,-0.42331444237689514,-0.4246937985365365,-0.42602974243817815,-0.42735982782661835,-0.4286937027166055,-0.4299450251361832,-0.43106843941005246,-0.4320665970729544,-0.4330318979584835,-0.4339893260224583,-0.4360468735182626,-0.43789675475530165,-0.43965400352416034,-0.44136131941397905,-0.4430044922004066,-0.4445931030620075,-0.4460987010898322,-0.4477416233615672,-0.4494996576276125,-0.4512654749369351,-0.4530229956545845,-0.45488556498491767,-0.4567888409733865,-0.4584348909094484,-0.45999510861468423,-0.46136505370534614,-0.46271421830718984,-0.4643334545701803,-0.4663283483725211,-0.46882616970711966,-0.4713595824518511,-0.47349491418996176,-0.47508566032181476,-0.4767531284839082,-0.478429794727534,-0.47994392881656955,-0.4815217446637682,-0.4830741541322561,-0.48447706471095103,-0.4857194779707109,-0.4869120795051602,-0.48802994483355144,-0.4890545107585626,-0.49019973930101557,-0.49161307981937236,-0.49302668913383196,-0.494341169144832,-0.49555212150958544,-0.49678295348384205,-0.4979790060204619,-0.49935697556411895,-0.5009331842429244,-0.5025075468898347,-0.5041922173593318,-0.5059257650434971,-0.5074773495240433,-0.5090327472323498,-0.5106357465244716,-0.5122756158274899,-0.5140078367133835,-0.5157908625378212,-0.5176426649251422,-0.5194149890471889,-0.521072281545386,-0.5224275039161995,-0.5235020218145452,-0.5241030620326629,-0.524779031495809,-0.5253732617621106,-0.5261937586532452,-0.526888002219644,-0.5273944089006412,-0.5279669880090999,-0.5286283356529032,-0.5293226001454281,-0.5301417313189944,-0.5311185073714055,-0.5319745011133253,-0.5328026457427245,-0.5336947845096169,-0.534553569694393,-0.5352400110695879,-0.5359758922086428,-0.5368751710368074,-0.5378393805952668,-0.5388078877165209,-0.5396966221936709,-0.5404965242175658,-0.5410665039888819,-0.5416462821739298,-0.5421409939576481,-0.5426598584837582,-0.5432507619158908,-0.5439420520839212,-0.5447186959662279,-0.5454461891437368,-0.5460795944685319,-0.5467744591596851,-0.5473104205769144,-0.5479042511407147,-0.5484227781294446,-0.5490106072311791,-0.5496346738124419,-0.5502912025968559,-0.5509102838117517,-0.5516020161115929,-0.5523053001287561,-0.5533100499619514,-0.5542778564117946,-0.5549645672613006,-0.5555843490160306,-0.556560079268237,-0.5576506931888561,-0.558767265428494,-0.56001599878453,-0.5614253010265887,-0.5629644769248978,-0.5645891459527389,-0.5662281824891554,-0.5678480782974746,-0.5694542062894843,-0.5711209785637984,-0.5728813838066849,-0.5748630999291159,-0.577160473124972,-0.5796336962937748,-0.5820668161937635,-0.5845261755566523,-0.5870312703714108,-0.5895385072898657,-0.5918941486228596,-0.5941229902543812,-0.5962438110510391,-0.5983327027045068,-0.6004190348776303,-0.6026052734618912,-0.6049366172800885,-0.6072381165429087,-0.6095469906615701,-0.6119628075409101,-0.6145326028995144,-0.6172475937912745,-0.6199355316483397,-0.6225348464820564,-0.624753833055945,-0.6267921085479726,-0.6292114398466583,-0.6319327480808689,-0.6344267717317155,-0.6368011854295703,-0.6390930333060448,-0.641353886609845,-0.6434402019454301,-0.6455673286205199,-0.6475840834528473,-0.6496742746105976,-0.6517192307527446,-0.653709723328046,-0.655685806839276,-0.6574894743091323,-0.6591753167372625,-0.6605232637649396,-0.6618613869586268,-0.6633138973789225,-0.6648421652369504,-0.6663740210448933,-0.6680393214207374,-0.6697601214529562,-0.6714879285492914,-0.6733158118506403,-0.675180254239572,-0.677041563022899,-0.678966536283223,-0.6809326166249565,-0.6830880010666474,-0.6852613104774445,-0.6873046765165004,-0.6891679917402964,-0.6908376844553408,-0.6925974279240557,-0.6943677816699928,-0.6962839012451035,-0.6984569183388538,-0.7005163285085259,-0.7024561744934836,-0.7043993662933398,-0.7064535579178819,-0.7086212936220874,-0.7107607884985248,-0.712944531918296,-0.715088680504459,-0.7173784071748041,-0.7196543301750529,-0.7219918532327692,-0.7243749547046562,-0.7267942257348986,-0.7294333273882583,-0.732159801436261,-0.7350323969127064,-0.7380726502514174,-0.7411382788991125,-0.7442108084748302,-0.7473529782393548,-0.7503866320296019,-0.7533332156674744,-0.7563106036460905,-0.7591147527995045,-0.7618941977813781,-0.7646298416912669,-0.7672951424974443,-0.769861524768315,-0.7722188444645203,-0.774471793990793,-0.7766953356185837,-0.7788772473804333,-0.78111212381881,-0.7833302741059281,-0.7855274003425902,-0.7876707865618058,-0.7897763285416776,-0.7918163593803316,-0.7937500938098783,-0.795487526070394,-0.7970606660472646,-0.7985280074375188
2,0.10087564757749243,0.1136242052912532,0.12004911840048677,0.12179118736347108,0.12165460033832906,0.12194930769146717,0.12262281817178847,0.12240921627324193,0.12186171759518258,0.1215894806563802,0.12110593353939017,0.12072851517402276,0.1211358356511357,0.12156793867637182,0.1220552587026,0.12299506764214373,0.12397675166202997,0.12503865937369485,0.12511932555234775,0.12523184336274654,0.1262896845544535,0.12719862326068063,0.12909038513394192,0.13089246072748748,0.13279695415418427,0.1347959724362214,0.13648824881097635,0.13762789812632764,0.13871441412227528,0.13988682380398917,0.14112027087243792,0.1423801176234181,0.1436993533845378,0.1447084154302178,0.1456660116124763,0.14646945218434226,0.14725602692495404,0.14939182124059902,0.1508365322478314,0.15221262667443355,0.15380119270398074,0.15564494391465922,0.15733172483368413,0.1588697663406288,0.16063120448258686,0.16276302929511188,0.16481107027132494,0.16712347170443817,0.1695855573063586,0.171740833190897,0.17387734106027036,0.1760864297376128,0.17807360753265203,0.17992184312291568,0.1818094314632524,0.18474456754197657,0.18834164367402637,0.19153557953253444,0.19422855002471945,0.1963325796055656,0.19804748812110046,0.19978206414600666,0.20136211543118626,0.20290545455458012,0.20464589653524293,0.20633368420131148,0.20795252702136222,0.20946189065554263,0.21087512306611758,0.2122531633394107,0.2138467153060335,0.21587187103763122,0.21801181554085766,0.22009556536413877,0.22216529206344252,0.2242701479023222,0.2263523730163848,0.22844710084371794,0.23064534537068287,0.2329322064476418,0.2353319674361259,0.237568938915302,0.23942247547356046,0.24120086680251882,0.24285403507683934,0.24428106360216362,0.2458337520955515,0.24746324865673275,0.24908000271720301,0.2506977062403338,0.2524157346516495,0.25390648739661836,0.25479841871530856,0.2550183025835997,0.2550569757947736,0.2556141063257646,0.2559668373334862,0.25661479752508604,0.25719358817937577,0.25772727062607814,0.25854868445618784,0.2595440647111931,0.2607434803290391,0.2619243749901144,0.2628932103039269,0.2638914111511678,0.2648714934311444,0.26582790605246803,0.26649407291425203,0.26716399908338434,0.2677252411766301,0.2681931858804607,0.26870746239593657,0.2691548382295645,0.2694785823673201,0.2696163637346772,0.2696809943926462,0.26966457551243556,0.2697541243830784,0.2699238219766583,0.2702170555234894,0.2705719289318662,0.27120838684695003,0.2718108127926898,0.2723646374382005,0.27284008581406366,0.27332600250200445,0.2736517281593954,0.2740461758258087,0.274454179002328,0.27492450836422927,0.2755337467216394,0.2759922219717077,0.2765028757744785,0.2775466525806627,0.27839889123532424,0.2790749188121022,0.27968587211133505,0.28037481540892,0.28130630483310537,0.28229997898868636,0.2837185730975144,0.28528326206061105,0.2869167435715698,0.2888051492068143,0.2906170046557238,0.29255269986793336,0.29476152567490826,0.2971540758616979,0.29970029169779805,0.30257893464101127,0.3058177619081793,0.30926371891150733,0.3127938534711566,0.3165130468486052,0.3203085605629569,0.3241098057220868,0.32783909076765727,0.3312586701313414,0.33446086641095724,0.3376567908485702,0.34073135407527927,0.3437533048763825,0.34683742088488967,0.349949296782835,0.35297200458104955,0.3560963712227503,0.3593985840567267,0.3628411549136534,0.3663439968319801,0.36985957685294085,0.3727609018644776,0.37534668382672187,0.3783432098656695,0.3817340685295169,0.3852420118634649,0.38850268649953323,0.3916149702638849,0.3943170840544443,0.3968301511419961,0.399221886949252,0.40143844109244436,0.40362955555868857,0.40576922891718825,0.40801447166336813,0.4100739174321264,0.41199582538324975,0.4135699656955604,0.41492160228119696,0.41624495691989816,0.4178121573390293,0.41934088349164483,0.4210117069776337,0.42285829222792265,0.42478569744188716,0.42697085130705853,0.4293293652753273,0.43163373286061363,0.4341094000723961,0.43667431490016373,0.4394437876612703,0.44241047943547696,0.44558789969223195,0.4486792259254906,0.4515962246516135,0.4542940532802123,0.4569060490934961,0.45949912308197216,0.4622365782037684,0.4654731336522408,0.46865274048131095,0.4715256361164649,0.47435341204534387,0.47718342987329004,0.4803141521771695,0.48367251121355576,0.487219054089036,0.4907697385348171,0.4944938699724709,0.4984328549588257,0.5024001323315946,0.5064326839023099,0.5105878183031286,0.5149591554458833,0.5196114709971883,0.5246441874144101,0.5297948860971441,0.5350084642902873,0.540389000376912,0.5457842497813218,0.551098524145175,0.5561701892902281,0.5610981598328634,0.5657588928830096,0.5704499927625951,0.5751216302311238,0.5797314617031584,0.5840700338202113,0.588192889620447,0.5922394218688942,0.5962200264398446,0.6000915166749241,0.6040007890488491,0.6081233955821883,0.6123319935907916,0.6165187641355299,0.6205284682350207,0.624497772476619,0.6283347963221214,0.6318574978536603,0.6351093265542955,0.6382626626965885
3,0.01655162617956048,0.013580555821445996,0.009019366727829173,0.007790519111660376,0.009829534024928654,0.011693186170988598,0.012966994593023255,0.014653505579686917,0.01596693361236531,0.01707103924721057,0.018463615740286154,0.01954044325266377,0.020516592264752408,0.02088153785613427,0.02126119660751804,0.020741370607314968,0.019424876793927355,0.0182525384716742,0.017682891400104973,0.01726969122069876,0.01714521090196019,0.017063361210787685,0.017011227375429788,0.01667156080723219,0.016180263347717973,0.015549728808531591,0.015026966816829022,0.01504220025217958,0.015140234130570017,0.015182149943841977,0.014948575452207352,0.014541745986375636,0.014157355687437506,0.013940943495504662,0.013690333694500095,0.013403386696417512,0.013258072451533287,0.013002865322391081,0.012939927081527419,0.01310359991208367,0.012875765125400443,0.012153411925925698,0.011386499020019054,0.01062240403421368,0.009474788417993105,0.008229442984663654,0.006948383739069894,0.005292843472483537,0.003552589991636303,0.0017481125478155885,-2.1950969472670996e-06,-0.0016734927531269152,-0.0030547802590458984,-0.004156876045774113,-0.005198139597322051,-0.006893592553611724,-0.009200434760527593,-0.011708353234676672,-0.013864092224832252,-0.01633351755732274,-0.018693442741151308,-0.02062855319570006,-0.02241867849351603,-0.024141164041507773,-0.026091267575369538,-0.02799989108102491,-0.029882975886424176,-0.03152161023071839,-0.033154678845647635,-0.03480884663739743,-0.03663684685823981,-0.03877327274257335,-0.040864576589545995,-0.04315129861906896,-0.04547790972999628,-0.04780112030404876,-0.05005007569315565,-0.05205616322503968,-0.05418580469682462,-0.05652508531838057,-0.05891679934382646,-0.061066740824814426,-0.06295867710986003,-0.06486626882660956,-0.0664891796944684,-0.06793081698588505,-0.06928472790035552,-0.07060672766810218,-0.07203469688767083,-0.07340513993163118,-0.0746799311953511,-0.07604434914400299,-0.07690110194307649,-0.0771829685073779,-0.07740268339936728,-0.07803273078423244,-0.07842677275451408,-0.0787240746737758,-0.07943609437135163,-0.08015653638572395,-0.08101008799760166,-0.08207840263630059,-0.08348580470736443,-0.08498184531983073,-0.08640951582402331,-0.08764051928789673,-0.08877613963853118,-0.08996872467113612,-0.09071198679040149,-0.09149818898585017,-0.09211811591277812,-0.09262616356299662,-0.09308203430384142,-0.09356677526954701,-0.0940305283786997,-0.09435242451606882,-0.09452226876476029,-0.09464092677206035,-0.0947867075655415,-0.09523223285825336,-0.09561574150807564,-0.09609050778387752,-0.09689386904611401,-0.09780794108226444,-0.0986817724987859,-0.09988401377667631,-0.10114235552700464,-0.10233995006526596,-0.10338211574771801,-0.10442402378108499,-0.1055217382537401,-0.1065672826409574,-0.10765119626521863,-0.10866485085647896,-0.1100960701981622,-0.11133275831100636,-0.1126846487053499,-0.11390590996534593,-0.1148558231076546,-0.11580847704390876,-0.11685929618338793,-0.1184046568992978,-0.12017925879125861,-0.12210886021734982,-0.1242287180432878,-0.12661303773861318,-0.12909897832094672,-0.13191768360259948,-0.13500335571474667,-0.13842625107366247,-0.14213437592363065,-0.1460631536425136,-0.1501018509139061,-0.15419578892279331,-0.15856362956738693,-0.16299221220574356,-0.16726865006004865,-0.17138929517046986,-0.1752777774416254,-0.17889825042830443,-0.18239490835074051,-0.1857610061095675,-0.18874765798322507,-0.19169446303636026,-0.1945784396247714,-0.1974330673990453,-0.20028456381088108,-0.20325936298339142,-0.20655757787337264,-0.20968732568742576,-0.21271315536022137,-0.21532233782721547,-0.21804813014708121,-0.22058045350942604,-0.22351262709691663,-0.22706392489122923,-0.23050356623052956,-0.23364532052890555,-0.23644088186108664,-0.2389411982424655,-0.2416081854329258,-0.2439639402417443,-0.24621809686425383,-0.24864638825074997,-0.25092436672749807,-0.2530080909091271,-0.2549812279373929,-0.2565635018843182,-0.2578768667051921,-0.25922215442833196,-0.26067802764568676,-0.2622625690491962,-0.26405444438145886,-0.266066731754131,-0.26834807983411746,-0.2709505053028079,-0.2736559774130925,-0.27648838208806636,-0.2793943218400994,-0.28231802626419955,-0.2853313076091397,-0.28854698952071733,-0.2919344811886429,-0.29548863681765347,-0.2989780358151087,-0.3021721953446965,-0.305341987216731,-0.3083922126669099,-0.3113397263458428,-0.3143379404486255,-0.3175280254646511,-0.32071014910763196,-0.32380184901878617,-0.3269631750918195,-0.3304738936659191,-0.3339809524837495,-0.33776071694741616,-0.3415896670414157,-0.34553409447452194,-0.34964327492471753,-0.3536040313376331,-0.357736723447555,-0.3622890893698877,-0.3669486972644935,-0.3719500383987254,-0.37752258997998583,-0.3834107682511414,-0.3895033822006868,-0.3955759106687666,-0.4017746172414601,-0.40785527215533085,-0.4136675515202297,-0.4192002799813304,-0.4247269103240375,-0.43015775892175534,-0.43553454706874906,-0.4410066634011238,-0.4463488934567137,-0.4514408496850393,-0.4565665625114645,-0.46160994365907804,-0.4665598958519657,-0.47159576828732336,-0.4767394420332166,-0.4821146026200969,-0.48758877198302925,-0.49295469805214387,-0.4982548428387743,-0.5033636346868957,-0.5079745266222926,-0.5123598495078218,-0.5167976382783883
4,0.04773295906870213,0.046451115387581635,0.04691440263936176,0.04557397055065822,0.04362825877694016,0.040548650958243226,0.03747436517972599,0.035100873349434444,0.032989686003083135,0.031178719121631903,0.030115848096598154,0.029099331353379828,0.027949026892656676,0.026872936204000712,0.02602253520951309,0.02533264506951449,0.02555303747232366,0.025883999306254808,0.026513013237358652,0.02713705640050172,0.026824716430081087,0.02649337559906165,0.026293606550140573,0.026096777942468827,0.026624339829509746,0.027201477302571823,0.027696802764779486,0.027844916105965314,0.02794306412697428,0.02786546429980265,0.027832074796953814,0.02808933908195875,0.02840083053449532,0.02859688562554907,0.02880025300470634,0.029108607249695533,0.02942183020787333,0.028985068012758162,0.028637050193213807,0.028240794991602963,0.028278938484935134,0.028539385848660365,0.029026390192915284,0.02982635863919111,0.03072191340920432,0.03159843051769719,0.03251547630109101,0.03356679610035254,0.03464497552642688,0.03590384457347155,0.03714883098688105,0.03825499233107625,0.03944355621677747,0.04032690329882671,0.041242199900737776,0.04182892461767788,0.04275198769163762,0.044320162772129704,0.045428686770662696,0.04677886772303109,0.04846330053767656,0.04981742658246599,0.050819911475925794,0.051794229796939775,0.05294826341731781,0.053736095507767014,0.054622259388924226,0.055323054137566066,0.05579285766609596,0.05600103399842091,0.05634403205542739,0.05684168322829092,0.05722336894260462,0.057642848428279866,0.05821971127146656,0.058864746077250965,0.05946856289580694,0.05978115044197771,0.060126603597292515,0.06055345846315326,0.061025957977247046,0.06127040106489983,0.061558788468166384,0.06170909589171295,0.06152558832337991,0.061441148609537664,0.06122164502225616,0.061035797020547504,0.06093982798111441,0.06070139474140983,0.06033613478557986,0.059858882747897454,0.05955976965696572,0.05882857106580372,0.057986304419379214,0.05758308803768378,0.0569399127509814,0.05594916354804708,0.05471739104204118,0.05387958854699446,0.05332003822873387,0.05289685632887347,0.05302525559961545,0.05324790628196411,0.05341855064087412,0.05353623882445501,0.05374606210475032,0.05384279712985786,0.05397682942727133,0.05412584881926963,0.054069819538808614,0.05400543948747694,0.05362499037411988,0.05327922343195234,0.052896915128941076,0.052512938296138956,0.05222688772747997,0.05177291224135518,0.05145154087956582,0.05130811366655441,0.0514521577462387,0.051637687292280784,0.05179000867626011,0.05206598606238997,0.052403421708615325,0.0530008171752135,0.053668887442303685,0.054406934649227585,0.055154709607593944,0.05566667146590881,0.05628414674558968,0.05700233111459547,0.057993081614686894,0.058882743340961656,0.06009501846602248,0.06143527244449561,0.06259004105698192,0.06314534311354833,0.06350403404194753,0.06369858821144289,0.06398082902482133,0.06486934506943604,0.06600603662011584,0.06740400908592403,0.0690141405345615,0.070647581755139,0.07256078472186386,0.07487382832321471,0.07751258819563907,0.08060846762966123,0.08396397216478219,0.08764407216070376,0.09138928768016745,0.09513685914318844,0.09912818108004022,0.10321521395982856,0.10711800700843338,0.11074786543330292,0.11419311284999017,0.11752335593889172,0.12088755167658634,0.1242497410840569,0.1272124269642153,0.13019222669094133,0.13316899541200838,0.13596921833839082,0.13878862307699516,0.14143836243664568,0.14411547742367475,0.14648164097498884,0.14877613160897846,0.1509675432607738,0.15356300304391152,0.15648786828818056,0.1600135837656595,0.16376348226214246,0.167710775595542,0.17157836531006748,0.17496214097240015,0.1780385251385467,0.18106356756651676,0.18389290703721678,0.18647862592142267,0.1888860585923238,0.191019873429072,0.1929604404535074,0.1946605460272179,0.1959758655016256,0.19692380752219027,0.19780883101263202,0.19869611208929772,0.1995768123093228,0.20073194728970117,0.20195735099466539,0.20345546367451942,0.20519306824408282,0.20700349446275157,0.20875131922203308,0.21037516908661696,0.21211119613358123,0.21385186511480217,0.21565299241940336,0.21751590480161723,0.21970661529442348,0.22219142194043282,0.22450744888107235,0.22668604898306746,0.22881396793282172,0.23054446652447824,0.23169800118834635,0.23279074889557602,0.2338781808270441,0.23508238020735245,0.2363655636307803,0.23780158293072892,0.2394127868036611,0.2414100378482851,0.24356969653832164,0.24617388630964393,0.2488824172192506,0.2516305723249877,0.2547396572907109,0.2581761417415601,0.2620999563613774,0.26631765678008484,0.2710918130009786,0.2763575831871622,0.28213172277052573,0.28812243841936125,0.2942140958940733,0.30041682737000974,0.30619708621137304,0.3118423346623674,0.3176317435782043,0.32340782199010903,0.3291894032470878,0.3349971089264582,0.3407540683270796,0.3464501592447361,0.3522714916191504,0.3579564454767375,0.36347624868791584,0.3690260331703533,0.3747994411356803,0.3807161588754165,0.3868622292142744,0.39307133204939243,0.39919297150836336,0.4051029109032292,0.4108240345598997,0.41618795865421465,0.4215617142958753
