tau,time_249_fit,time_250_fit,time_251_fit,time_252_fit,time_253_fit,time_254_fit,time_255_fit,time_256_fit,time_257_fit,time_258_fit,time_259_fit,time_260_fit,time_261_fit,time_262_fit,time_263_fit,time_264_fit,time_265_fit,time_266_fit,time_267_fit,time_268_fit,time_269_fit,time_270_fit,time_271_fit,time_272_fit,time_273_fit,time_274_fit,time_275_fit,time_276_fit,time_277_fit,time_278_fit,time_279_fit,time_280_fit,time_281_fit,time_282_fit,time_283_fit,time_284_fit,time_285_fit,time_286_fit,time_287_fit,time_288_fit,time_289_fit,time_290_fit,time_291_fit,time_292_fit,time_293_fit,time_294_fit,time_295_fit,time_296_fit,time_297_fit,time_298_fit,time_299_fit,time_300_fit,time_301_fit,time_302_fit,time_303_fit,time_304_fit,time_305_fit,time_306_fit,time_307_fit,time_308_fit,time_309_fit,time_310_fit,time_311_fit,time_312_fit,time_313_fit,time_314_fit,time_315_fit,time_316_fit,time_317_fit,time_318_fit,time_319_fit,time_320_fit,time_321_fit,time_322_fit,time_323_fit,time_324_fit,time_325_fit,time_326_fit,time_327_fit,time_328_fit,time_329_fit,time_330_fit,time_331_fit,time_332_fit,time_333_fit,time_334_fit,time_335_fit,time_336_fit,time_337_fit,time_338_fit,time_339_fit,time_340_fit,time_341_fit,time_342_fit,time_343_fit,time_344_fit,time_345_fit,time_346_fit,time_347_fit,time_348_fit,time_349_fit,time_350_fit,time_351_fit,time_352_fit,time_353_fit,time_354_fit,time_355_fit,time_356_fit,time_357_fit,time_358_fit,time_359_fit,time_360_fit,time_361_fit,time_362_fit,time_363_fit,time_364_fit,time_365_fit,time_366_fit,time_367_fit,time_368_fit,time_369_fit,time_370_fit,time_371_fit,time_372_fit,time_373_fit,time_374_fit,time_375_fit,time_376_fit,time_377_fit,time_378_fit,time_379_fit,time_380_fit,time_381_fit,time_382_fit,time_383_fit,time_384_fit,time_385_fit,time_386_fit,time_387_fit,time_388_fit,time_389_fit,time_390_fit,time_391_fit,time_392_fit,time_393_fit,time_394_fit,time_395_fit,time_396_fit,time_397_fit,time_398_fit,time_399_fit,time_400_fit,time_401_fit,time_402_fit,time_403_fit,time_404_fit,time_405_fit,time_406_fit,time_407_fit,time_408_fit,time_409_fit,time_410_fit,time_411_fit,time_412_fit,time_413_fit,time_414_fit,time_415_fit,time_416_fit,time_417_fit,time_418_fit,time_419_fit,time_420_fit,time_421_fit,time_422_fit,time_423_fit,time_424_fit,time_425_fit,time_426_fit,time_427_fit,time_428_fit,time_429_fit,time_430_fit,time_431_fit,time_432_fit,time_433_fit,time_434_fit,time_435_fit,time_436_fit,time_437_fit,time_438_fit,time_439_fit,time_440_fit,time_441_fit,time_442_fit,time_443_fit,time_444_fit,time_445_fit,time_446_fit,time_447_fit,time_448_fit,time_449_fit,time_450_fit,time_451_fit,time_452_fit,time_453_fit,time_454_fit,time_455_fit,time_456_fit,time_457_fit,time_458_fit,time_459_fit,time_460_fit,time_461_fit,time_462_fit,time_463_fit,time_464_fit,time_465_fit,time_466_fit,time_467_fit,time_468_fit,time_469_fit,time_470_fit,time_471_fit,time_472_fit,time_473_fit,time_474_fit,time_475_fit,time_476_fit,time_477_fit,time_478_fit,time_479_fit,time_480_fit,time_481_fit,time_482_fit,time_483_fit,time_484_fit,time_485_fit,time_486_fit,time_487_fit,time_488_fit,time_489_fit,time_490_fit,time_491_fit,time_492_fit,time_493_fit,time_494_fit,time_495_fit,time_496_fit,time_497_fit,time_498_fit,time_499_fit,time_500_fit
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,-0.35786758260281,-0.36591105413185154,-0.3714748170002402,-0.37318041617811837,-0.3730243244616337,-0.3730869075897046,-0.3733479904945784,-0.3726088072003557,-0.3718121256456922,-0.37119720532291867,-0.37046906984470085,-0.36987061668516186,-0.3695402864810976,-0.3696120898516224,-0.3698662462784365,-0.37064002654854106,-0.37185428645834306,-0.373015535595645,-0.3735697096912299,-0.3740661098011002,-0.3746619588851364,-0.3754948523254793,-0.377000575874402,-0.3784828321805278,-0.38019798829257956,-0.38204149987708264,-0.38359248138838153,-0.3847177533397127,-0.3858037811697357,-0.3868903629066503,-0.388060091713041,-0.3893106311069173,-0.39054242039588816,-0.3915415256081368,-0.3924672367721928,-0.3933376993824722,-0.3941656776658341,-0.3959648510577115,-0.39736380478956773,-0.3986302865091194,-0.4000879965620675,-0.40174539627921935,-0.4033523398698546,-0.4048997392631408,-0.4066913976294295,-0.408692387099299,-0.41067602373213213,-0.41285578616988783,-0.4151600362908702,-0.41740393460096503,-0.41950972926123076,-0.421566508866146,-0.4233977541123304,-0.425059814554658,-0.4268429195345751,-0.4292859338465806,-0.4323774495740684,-0.43546505492942955,-0.4380428624588909,-0.44028117690541746,-0.4424290423162071,-0.44443553306442496,-0.4462289659478526,-0.4480128959053509,-0.4499389794738005,-0.4517183476858564,-0.4534141824935283,-0.454959813741915,-0.45640242225391625,-0.45775878500317446,-0.4593039644640209,-0.46121080986125634,-0.46312672335945076,-0.46503519103259106,-0.4669303851958867,-0.4688534969084769,-0.47072733733502015,-0.47256377529979615,-0.47454452315734025,-0.4766174857360418,-0.478787079844865,-0.4808116471764461,-0.48256869243954176,-0.4842768144361748,-0.4858247804031162,-0.48727134424693747,-0.4887446714045951,-0.49025429970157725,-0.49181964616845536,-0.49331234658209394,-0.49474752309750486,-0.49599818494836234,-0.49684330615170585,-0.4970738668827518,-0.49723318650391946,-0.4977197527828921,-0.4981125685768626,-0.49847844261156643,-0.49882055221765903,-0.49923778726002505,-0.4998625629755573,-0.5006338151128785,-0.5016939196029394,-0.5028374218760178,-0.5038410917385335,-0.5047848291406423,-0.5057337016995717,-0.5066571032078341,-0.5073176350195615,-0.5080082365238732,-0.5086375982250345,-0.5092260844001484,-0.5097623970523016,-0.510262667689455,-0.5106806004195328,-0.5109258070971997,-0.5111280961447414,-0.5112340567401383,-0.5114122760977666,-0.5117462120795393,-0.5121865071495144,-0.5127040418155208,-0.513374736791836,-0.5140527513963863,-0.5147342041346862,-0.5154670603935863,-0.516247884378716,-0.5169492814561647,-0.5176572250041568,-0.518339437538705,-0.5190842867945028,-0.5198665745520259,-0.5206798106013986,-0.5214776589005484,-0.5227037527289324,-0.5238286878802682,-0.524805906904932,-0.5256015619476035,-0.5264265070433249,-0.5273341846696672,-0.5283080930038309,-0.5296890349260609,-0.5312642156340907,-0.5329825685485969,-0.5348892544423001,-0.5368425827630673,-0.5389011991987117,-0.541194007685217,-0.5436841302910788,-0.546413220293418,-0.5494219134958749,-0.5527373834686083,-0.5561934489894699,-0.5596656583428197,-0.5633037993816742,-0.5669958008391416,-0.5706008169902853,-0.5740380960321512,-0.5772439508352025,-0.5802570030759461,-0.5832237892113535,-0.5861103270450161,-0.5888213226602738,-0.5915655199916297,-0.5942810960460384,-0.5969185295967705,-0.5995984855547076,-0.6023446796358529,-0.6052303043828509,-0.6080055650510074,-0.6107077609886535,-0.6130273023417742,-0.6153220979337717,-0.617813125263889,-0.6206720701219003,-0.6236910504490489,-0.6266189602585033,-0.6293912461019521,-0.6318623446751535,-0.6341094182527943,-0.6363538271728381,-0.6384118684430586,-0.6403967463449343,-0.6423572411999007,-0.6442348517815363,-0.6459731550439982,-0.6475657577549557,-0.6488804643819268,-0.6499407531107194,-0.6509842369589117,-0.6521284966908376,-0.6533017130798726,-0.6546069467818446,-0.6560363362128188,-0.6576042763320262,-0.6593470264314277,-0.6611771049750903,-0.6630091033699077,-0.6648626953874308,-0.6667644500592366,-0.6687301617503336,-0.6708174609472641,-0.6729924981635724,-0.6752169651367993,-0.6774069284164934,-0.6794104021026854,-0.6813679919769347,-0.6832781673358979,-0.6851315750347944,-0.6870161937343182,-0.688889940651144,-0.6906690977507353,-0.6924336741391551,-0.6942359331585751,-0.6962093418580253,-0.6982463525427935,-0.7004473368561901,-0.7026720427919293,-0.7050478408168064,-0.7075027765694489,-0.709933027558765,-0.712471002650324,-0.7151685883813748,-0.718032609652943,-0.7210645551756847,-0.7243823182343004,-0.727872206033366,-0.7314848493917333,-0.7351352552668606,-0.738809440005974,-0.7424246215086945,-0.7458283624137402,-0.7491064715998794,-0.7523218199562234,-0.755495594462563,-0.7586294381194719,-0.7617457054237304,-0.7647533456215931,-0.7676286808143487,-0.7704924649368661,-0.7732854201371061,-0.775993489507166,-0.7787168122036431,-0.7815136769584784,-0.7843702792504732,-0.7872592805878176,-0.7900935186462502,-0.7928714864115531,-0.7955335597786503,-0.7980002657683455,-0.8002995968601955,-0.8025753493760818
2,0.12806920667797903,0.1338908995358828,0.13799353966536196,0.13926362301887363,0.13914714664005817,0.13919384061484877,0.1393887220063398,0.13883732320327186,0.138244256777168,0.13778736523954505,0.13724733171159784,0.13680427308706195,0.1365600233325317,0.13661309696448382,0.13680104013610106,0.13737402927990322,0.13827561035744346,0.1391405897957059,0.13955432799878978,0.13992545450172877,0.14037158343564765,0.1409963841229335,0.14212943420963073,0.1432492542553936,0.14455051030172447,0.14595570762833093,0.14714319177769583,0.14800774973475603,0.1488445575648653,0.14968415291003956,0.1505906347803338,0.15156276749286626,0.15252338212867864,0.15330476627554726,0.15403053193960045,0.15471454575549606,0.15536658144976623,0.15678816327315565,0.15789799335684168,0.15890610532234264,0.16007040499304895,0.16139936343154698,0.1626931100784867,0.16394379885535942,0.16539789290577875,0.16702946727292325,0.16865479646843476,0.17044990017395614,0.1723578557330367,0.1742260446203667,0.17598841294483114,0.17771832139759036,0.17926565818736537,0.18067584594924027,0.18219487795679976,0.18428641299853077,0.18695025890017603,0.1896298140646911,0.19188154935117882,0.1938475147372195,0.19574345748483618,0.19752294305025958,0.1991202900508898,0.20071555489749882,0.20244508524992508,0.20404946563604023,0.20558442088627457,0.206988432120078,0.20830317103924206,0.2095431052475825,0.21096013177236655,0.21271541113287595,0.21448636188966125,0.21625772889871844,0.21802398461917913,0.21982360156330716,0.22158422611451786,0.22331652172559624,0.22519250445862743,0.227164227709346,0.22923706782637315,0.23117984006052728,0.23287254292280904,0.2345240330004493,0.23602571725373608,0.23743336292421743,0.23887135382638564,0.24034927837588393,0.24188656435726463,0.24335707129033196,0.2447751116111161,0.24601419947206984,0.2468532708677577,0.24708242913777165,0.24724084176084155,0.24772495231026323,0.24811613097423962,0.24848075774845274,0.2488219433147303,0.24923836822828602,0.249862581864493,0.25063421683447584,0.2516967889665606,0.2528454728389203,0.2538558457242774,0.2548077237305474,0.2557665770347513,0.2567014202309538,0.257371182801841,0.2580723683760955,0.25871220632813163,0.259311205033507,0.25985770144850845,0.2603679900375592,0.2607946756448545,0.2610451803579249,0.261251930668548,0.26136026077097896,0.26154251614349827,0.26188418557775683,0.26233501810601956,0.26286543449397126,0.2635536203760869,0.2642502312181949,0.2649513009061688,0.2657062903508051,0.2665118781255002,0.267236559598045,0.2679690025990042,0.2686757725079411,0.26944849679695765,0.2702612553364571,0.2711074651679083,0.2719389487323967,0.27321921311690894,0.27439649424636336,0.27542123992230816,0.2762570019217605,0.27712486731783587,0.27808134232122267,0.2791094411333444,0.28057047372090177,0.2822416668133056,0.2840704183766598,0.28610651451783964,0.28819995866772075,0.29041450249780953,0.2928909539543867,0.2955924335303667,0.29856740731142334,0.30186443902946863,0.3055186150837234,0.30935115269880203,0.31322564912830175,0.3173111703978294,0.3214842381692195,0.32558529234998107,0.32951973569621723,0.3332105787758337,0.3366981896186785,0.34014998830204934,0.3435253154688157,0.3467105500193942,0.34994976444296716,0.3531700211176807,0.3563117309759706,0.35951834387949894,0.36281911308561826,0.3663037213433583,0.36967076713299485,0.3729639693317744,0.37580247341643297,0.37862128420561814,0.3816930577483338,0.3852338186294051,0.3889905264102381,0.3926513213554477,0.396133340669768,0.39925002261838244,0.40209475431689723,0.40494619335751825,0.40756971376895723,0.4101079927291781,0.4126228253219474,0.415038544249978,0.4172813170374974,0.41934141061675,0.421045857056505,0.42242298255412913,0.4237804767689765,0.4252715761962518,0.4268031283130962,0.4285102547750487,0.4303836744315386,0.43244338425016793,0.43473850126396585,0.43715516414324157,0.43958107115136896,0.4420424037178396,0.44457483186279617,0.44720002923462737,0.44999606591173424,0.45291890258444606,0.4559179500085496,0.4588801466666682,0.4615984944853327,0.4642623404906801,0.46686905395790324,0.46940527510965807,0.47199125045319024,0.47456935033033665,0.4770238025878147,0.4794643930818497,0.4819635308885576,0.48470744769038476,0.4875479688393151,0.49062647170892904,0.4937479997213829,0.49709245784044076,0.5005601788534796,0.5040049036187542,0.507614929617558,0.5114661098074083,0.5155708285250157,0.519934092730708,0.5247297429704993,0.5297979483158788,0.5350700848896468,0.5404238435362724,0.5458393886419409,0.5511943186223283,0.5562599461807614,0.561160505792821,0.5659881207822441,0.5707735932523414,0.5755186243814657,0.5802565197314967,0.5848476796394199,0.5892537916087771,0.5936586385244877,0.5979703409966207,0.6021658957575081,0.6063998736086039,0.6107636272731609,0.6152367349714654,0.6197771748716481,0.6242477682068125,0.6286451939644657,0.6328736447340914,0.6368044241663501,0.6404794447345914,0.6441271914261397
3,-0.04583181739970801,-0.048992160187836704,-0.05126112489440572,-0.051970456796655844,-0.05190527037617158,-0.051931399550528154,-0.052040499258674384,-0.0517320093936614,-0.05140089097062773,-0.05114628490572739,-0.05084589131786276,-0.05059988085187689,-0.05046443014416913,-0.05049385227014519,-0.05059808720212543,-0.05091631385938339,-0.05141837842405901,-0.05190160162573917,-0.052133269796662565,-0.05234137042761253,-0.05259189242180812,-0.05294341643466747,-0.05358287854573372,-0.05421738345832988,-0.05495781322338144,-0.0557611374579485,-0.056443022053412846,-0.05694120895482179,-0.057424793115061414,-0.057911356240739745,-0.058438215543981396,-0.05900499666495874,-0.059566850823501105,-0.060025182070526616,-0.06045193724888598,-0.060855063488471056,-0.06124017386377111,-0.06208260171806723,-0.06274294740891251,-0.06334478629269374,-0.06404224764254772,-0.06484145122102059,-0.06562264663086143,-0.06638080141034383,-0.06726590023081387,-0.06826367169569525,-0.06926248119700883,-0.07037122753889756,-0.07155609364114408,-0.07272263653450435,-0.07382885146759978,-0.07492009231313386,-0.07590067706599919,-0.07679804157369002,-0.077768593631326,-0.07911156489931091,-0.08083307614046989,-0.08257715739793822,-0.0840523431308373,-0.08534741192869326,-0.08660259043467927,-0.08778621448699617,-0.08885324112864504,-0.08992315700287788,-0.09108793505683783,-0.09217288746329404,-0.09321489212955562,-0.09417141852408172,-0.0950700718254819,-0.09592019726392567,-0.09689482486690021,-0.09810664703856382,-0.09933436598724818,-0.10056745427068982,-0.10180202312017539,-0.10306506429597229,-0.10430575275432802,-0.1055312985934667,-0.10686386964692657,-0.10827044305999817,-0.10975574629678846,-0.11115395969348948,-0.11237699854333102,-0.11357455161018193,-0.11466714225428434,-0.1156944739211544,-0.11674710133384762,-0.11783226715394841,-0.1189645644950932,-0.12005104789557959,-0.121101880185515,-0.122022596409671,-0.12264739523229931,-0.12281821849029566,-0.12293635158265456,-0.12329760202201795,-0.12358976330493177,-0.12386230114139063,-0.12411749916812483,-0.12442921145458885,-0.12489695056247548,-0.1254759641716721,-0.12627474860810767,-0.12714016569534534,-0.12790300645392866,-0.12862307328704034,-0.12934977777481343,-0.13005959796355196,-0.13056893978121722,-0.13110288875427964,-0.13159075525824046,-0.13204802958029685,-0.132465684782893,-0.13285606517750642,-0.13318278154453161,-0.13337471946320686,-0.13353320193675294,-0.13361626638460802,-0.13375605347728334,-0.13401823997295217,-0.1343644566267268,-0.13477217071865208,-0.13530177049110906,-0.13583855841484435,-0.13637949700638655,-0.13696284041521423,-0.1375861932440877,-0.13814774746302688,-0.1387160902725322,-0.13926524880204327,-0.13986648078769962,-0.14049979304589438,-0.14116018361625174,-0.1418100863488465,-0.14281270801385426,-0.14373675554001808,-0.1445426935983078,-0.14520111170903946,-0.1458858759169732,-0.14664179792480858,-0.14745577658452216,-0.1486151034539722,-0.14994489773882913,-0.1514045812350667,-0.15303530024153233,-0.15471801016338846,-0.15650472366076684,-0.1585108291853209,-0.16070891514458094,-0.16314117850369142,-0.1658509377079295,-0.16887155990233016,-0.17205908456841484,-0.17530163912924804,-0.17874258787134314,-0.18228021307791795,-0.1857792338149201,-0.1891568816840742,-0.19234379095264673,-0.195371482449231,-0.1983835650777188,-0.20134373499766992,-0.2041505646426907,-0.2070182143736522,-0.20988226724041784,-0.2126890745322564,-0.21556665451928414,-0.21854216243732105,-0.22169811276521173,-0.22476188365353592,-0.22777199064004877,-0.23037717649184222,-0.23297404291977974,-0.23581498089902814,-0.23910387168967753,-0.2426099100315299,-0.24604276273187808,-0.24932285690667438,-0.25227105540325917,-0.254972070742388,-0.2576890599421288,-0.26019734248804255,-0.2626318241938176,-0.2650512597299146,-0.2673822950385092,-0.26955252890762704,-0.27155113832406774,-0.27320843125291133,-0.27454991141250695,-0.275874410307536,-0.2773317136702047,-0.27883121487479445,-0.28050578954300504,-0.2823473289398772,-0.284376618754404,-0.2866435380836514,-0.28903698585313886,-0.2914462518424527,-0.2938975040113817,-0.29642669327717486,-0.29905614788482626,-0.30186521837116725,-0.30481102371581004,-0.30784353455616387,-0.3108485906647777,-0.3136148187482741,-0.3163334986906466,-0.3190014315742005,-0.321604375465521,-0.3242656323622521,-0.3269260515839175,-0.3294655993389508,-0.33199729132056527,-0.3345964016148195,-0.337457853150206,-0.34042859093169936,-0.34365800549966824,-0.3469429155886531,-0.3504739640867221,-0.35414771637893677,-0.35780972713052567,-0.36166091786489524,-0.36578449575587735,-0.37019666746674695,-0.37490604529554117,-0.3801049476594589,-0.3856252013926299,-0.39139566045952523,-0.3972846201703355,-0.4032712930557556,-0.4092202333809248,-0.4148744447363525,-0.4203689664956638,-0.42580521310050073,-0.4312169351377108,-0.4366053706418027,-0.4420079119495877,-0.44726421968327207,-0.45232811071749873,-0.45740950772779654,-0.46240174636710046,-0.467276814711077,-0.4722137764971841,-0.4773201281027456,-0.4825734096147176,-0.4879253328142037,-0.49321411568958934,-0.49843484936408505,-0.5034722234854004,-0.5081700997272055,-0.5125754414183353,-0.5169606057014684
4,0.016401721699126907,0.01792677297852786,0.01904221698937582,0.01939435669634295,0.01936192841806985,0.019374925265111923,0.01942921582256068,0.01927580231424977,0.019111474531871564,0.018985358019655785,0.01883683006195337,0.01871540913487942,0.0186486399725816,0.018663138262227454,0.01871452458231913,0.018871623920595708,0.019120144419723525,0.019360103728696895,0.019475410463193798,0.019579132817515367,0.019704181436230993,0.019879980335741815,0.020200776068749753,0.020520348844726394,0.02089485002848895,0.02130306858928682,0.021651118886527775,0.02190629398154617,0.0221547023166805,0.022405345632396108,0.02267753928354388,0.022971272490096638,0.023263382095970925,0.023502351362800173,0.023725404769596274,0.02393659066832949,0.024138774631386844,0.024582528142569716,0.024931776306117225,0.02525115030871545,0.025622534554638705,0.026049754516108588,0.026469048067010583,0.02687756918312655,0.027356462977671456,0.027898842937476544,0.02844444037180915,0.029053168469311615,0.029707230432890287,0.030354714624058005,0.030971921490840406,0.03158380176037722,0.03213617620534932,0.0326437613094736,0.033194973553693156,0.033961482015865053,0.03495039930284285,0.035959466382209315,0.03681852898140887,0.03757685896979653,0.03831550114811787,0.039015313031236086,0.03964888990995048,0.04028673397781086,0.040984012541849434,0.04163618442635357,0.042264954111144885,0.04284421103152814,0.043390211065003736,0.043908312956799436,0.044504177197414264,0.04524784613342844,0.04600439943666273,0.046767405308431605,0.047534457869224056,0.048322415804263615,0.049099569262769774,0.04987026887561869,0.05071166406434894,0.0516035863507836,0.0525496332656332,0.05344411845041097,0.05422962124733554,0.05500152205479583,0.055708139205140575,0.05637460182950315,0.057059523678850324,0.05776777561580814,0.058509110016561124,0.05922266414700772,0.059914855264234346,0.06052298634188338,0.06093653733811056,0.06104972678862195,0.06112803383460949,0.06136765199712219,0.06156161444962604,0.06174268697124525,0.06191235947491886,0.0621197641970987,0.06243130981599047,0.06281751064823105,0.06335127357607735,0.06393083313513717,0.06444279040838811,0.06492697607274298,0.06541654192807339,0.06589561914858875,0.06623992573681867,0.06660134731924712,0.06693200570316975,0.06724230105592953,0.06752602500210214,0.06779149023619854,0.06801386284470487,0.06814458618810156,0.06825257127804382,0.06830918591027413,0.06840448775067207,0.06858332665572497,0.06881966172468562,0.0690982366517043,0.06946051081334252,0.06982818469886948,0.07019919185187119,0.07059983273198635,0.07102858118198146,0.07141537878579945,0.07180738635390513,0.07218667073273892,0.07260249242614009,0.07304114613603765,0.0734992576697686,0.07395079183768109,0.07464873841622291,0.07529343605469453,0.07585685940034163,0.0763179311107996,0.07679819208592813,0.07732923294717302,0.07790208012976785,0.07871979072397123,0.079660358485553,0.08069600259669056,0.08185693764954677,0.08305921617607595,0.08434058326105023,0.08578511090831066,0.08737488676040425,0.08914249670866536,0.09112213955057578,0.09334162416267633,0.09569813567607753,0.098110307271846,0.10068637885924035,0.10335211539124345,0.10600578259462264,0.10858325621330485,0.11102928980812608,0.11336567089249558,0.11570201454188431,0.11800964236794936,0.12020820549475086,0.12246483763368822,0.12472906381626304,0.12695804963109242,0.12925343958585764,0.13163770882023468,0.1341784162699927,0.1366564760726969,0.13910212241971273,0.1412274990259088,0.14335407685351145,0.14568959033327286,0.14840509501579338,0.15131362963691414,0.15417506016217908,0.15692162359019046,0.15940058056077888,0.16168019144916596,0.16398141951474457,0.1661130715817097,0.1681885657003556,0.1702575959766663,0.17225699321314095,0.1741236975485484,0.17584721865804573,0.17727961374444684,0.17844117618992608,0.17958989249054105,0.1808559135204444,0.18216091033784526,0.18362103844737718,0.1852301072171926,0.18700728058173838,0.18899756448123925,0.1911046375371045,0.1932315181145849,0.1954014866846455,0.1976467811258335,0.19998786614745157,0.20249645933603785,0.20513553231829892,0.20786117713999835,0.21057098900482296,0.21307317011112573,0.21553952079788416,0.21796671354354755,0.22034131230077378,0.22277574050436616,0.2252160682729578,0.2275517082353384,0.22988610423334646,0.2322888451065656,0.23494130984652706,0.2377030219193418,0.24071433474155254,0.24378708722886674,0.24710091164185036,0.25056049265382746,0.25402094287174964,0.2576729167706384,0.2615975814815238,0.2658132792259711,0.2703314607837045,0.2753413031578863,0.28068586603971457,0.28629999574381376,0.2920579306625174,0.29794063819300787,0.3038151768815327,0.3094251277250235,0.31490111326165465,0.3203425528666162,0.3257824947541893,0.3312216870099346,0.3366976286909088,0.34204680837961354,0.34722003092532017,0.35243057909474845,0.3575685287116148,0.3626037660134421,0.3677208067125308,0.37303220839986867,0.37851624005834905,0.38412374649188147,0.38968527611118636,0.3951947798946207,0.4005290501990128,0.4055198746378366,0.4102139191275305,0.41489983873452685
