time,state,smoothing,residuals,variance,ac1,dominant_eigenvalue,R_squared,variance_rolling_avg,ac1_rolling_avg,dominant_eigenvalue_rolling_avg
0.0,181.006822724667,185.31373497070317,-4.306912246036177,,,,,,,
1.0,186.52288481124316,185.26456307200755,1.2583217392356119,,,,,,,
2.0,182.48778358827104,185.21526269424194,-2.7274791059709003,,,,,,,
3.0,184.2687604466123,185.16583326096045,-0.8970728143481494,,,,,,,
4.0,185.0934603063461,185.11627556050396,-0.022815254157876552,,,,,,,
5.0,184.3560304737924,185.0665912934324,-0.7105608196399942,,,,,,,
6.0,183.1894862971507,185.01678244208065,-1.82729614492996,,,,,,,
7.0,183.5411118282767,184.96685169700552,-1.4257398687288116,,,,,,,
8.0,186.87326239387264,184.91680310375875,1.9564592901138838,,,,,,,
9.0,184.3454660024352,184.86664157599407,-0.5211755735588781,,,,,,,
10.0,180.32407251838055,184.81637137146066,-4.492298853080115,,,,,,,
11.0,187.29008994826188,184.76599726129388,2.524092686968004,,,,,,,
12.0,184.824043086464,184.71552546010713,0.10851762635687123,,,,,,,
13.0,187.74866347459977,184.66496148683123,3.083701987768535,,,,,,,
14.0,183.5580383561004,184.6143102793356,-1.0562719232351867,,,,,,,
15.0,185.9841199934426,184.5635756514757,1.4205443419668882,,,,,,,
16.0,186.90932689900123,184.51276151551372,2.3965653834875127,,,,,,,
17.0,185.00462528309177,184.46187100243372,0.5427542806580448,,,,,,,
18.0,186.6129084340656,184.4109059343887,2.202002499676894,,,,,,,
19.0,180.7979987739945,184.35986732207783,-3.561868548083339,,,,,,,
20.0,184.03522484586117,184.3087553919697,-0.2735305461085318,,,,,,,
21.0,185.2660704929281,184.25757143593748,1.0084990569906154,,,,,,,
22.0,184.09992148672825,184.20631706736168,-0.10639558063343202,,,,,,,
23.0,184.6872761226848,184.1549934251752,0.5322826975096007,,,,,,,
24.0,181.5102025202292,184.10360145492382,-2.593398934694619,,,,,,,
25.0,186.03117634423737,184.05214205459305,1.9790342896443178,,,,,,,
26.0,182.2409269099737,184.00061686012333,-1.7596899501496353,,,,,,,
27.0,183.9281096911029,183.94902704715287,-0.020917356049977798,,,,,,,
28.0,182.23912470536652,183.89737429864695,-1.6582495932804306,,,,,,,
29.0,185.44046606120068,183.8456606548525,1.594805406348172,,,,,,,
30.0,186.35376910835424,183.79388872119205,2.5598803871621953,,,,,,,
31.0,185.46331964550276,183.74206030068544,1.7212593448173266,,,,,,,
32.0,184.4657023566066,183.69017566519727,0.7755266914093397,,,,,,,
33.0,187.2516772040102,183.63823374432602,3.6134434596841913,,,,,,,
34.0,181.56791746049285,183.58623227017048,-2.0183148096776335,,,,,,,
35.0,184.55754522947367,183.5341673562057,1.0233778732679752,,,,,,,
36.0,182.1385935158046,183.4820350658952,-1.3434415500906027,,,,,,,
37.0,179.60877087472275,183.4298308266518,-3.821059951929044,,,,,,,
38.0,185.1316992816783,183.37755039939745,1.7541488822808446,,,,,,,
39.0,181.5163179244118,183.32519046484603,-1.808872540434237,,,,,,,
40.0,187.588612804078,183.27274699579604,4.315865808281956,,,,,,,
41.0,182.0798710331453,183.22021580234812,-1.1403447692028124,,,,,,,
42.0,184.8139251514804,183.16759095770243,1.6463341937779603,,,,,,,
43.0,181.8568195062808,183.11486580468855,-1.2580462984077485,,,,,,,
44.0,185.2657321419662,183.06203223519373,2.2036999067724707,,,,,,,
45.0,180.7930725759145,183.009081263698,-2.2160086877835,,,,,,,
46.0,184.54634798820476,182.95600184620653,1.590346141998225,,,,,,,
47.0,177.54274310551267,182.9027820138917,-5.360038908379039,,,,,,,
48.0,183.99489950300176,182.84940756306042,1.145491939941337,,,,,,,
49.0,181.76212271621895,182.79586318428932,-1.0337404680703628,,,,,,,
50.0,183.5506459327684,182.74213030115254,0.8085156316158475,,,,,,,
51.0,184.75634842387697,182.68818658869026,2.0681618351867144,,,,,,,
52.0,182.1314304277724,182.63400333325882,-0.5025729054864314,,,,,,,
53.0,181.18818611588372,182.57954246370474,-1.3913563478210165,,,,,,,
54.0,185.16738805729867,182.52475580075821,2.642632256540452,,,,,,,
55.0,180.05139528267796,182.4695825730792,-2.4181872904012494,,,,,,,
56.0,183.06633121718863,182.41394379398125,0.6523874232073865,,,,,,,
57.0,183.98717890880133,182.35774193198637,1.629436976814958,,,,,,,
58.0,182.3930801645403,182.30085803268625,0.09222213185404371,,,,,,,
59.0,182.0879927714277,182.24315429132977,-0.15516151990206595,,,,,,,
60.0,182.0257921188118,182.18449063880516,-0.15869851999335083,,,,,,,
61.0,183.2637139912922,182.12476160050795,1.1389523907842545,,,,,,,
62.0,180.90726131475347,182.06396609162113,-1.156704776867656,,,,,,,
63.0,184.33670464761377,181.99851128384134,2.338193363772433,,,,,,,
64.0,181.27158960412743,181.93261278136077,-0.6610231772333464,,,,,,,
65.0,183.2838450796614,181.86633095396235,1.417514125699057,,,,,,,
66.0,179.6238462876927,181.7997282129189,-2.175881925226207,,,,,,,
67.0,180.49993035317863,181.73285366591315,-1.2329233127345276,,,,,,,
68.0,186.8468892793445,181.66575834944945,5.181130929895062,,,,,,,
69.0,183.28652347377272,181.5984933703926,1.6880301033801288,,,,,,,
70.0,182.57032180500457,181.53108863794614,1.039233167058427,,,,,,,
71.0,178.93981361905375,181.46356447782105,-2.5237508587673005,,,,,,,
72.0,183.1868998885595,181.3959488390065,1.7909510495530014,,,,,,,
73.0,181.33271740945327,181.32826894412966,0.004448465323605433,,,,,,,
74.0,181.87691943986127,181.26053919004997,0.6163802498113,,,,,,,
