omega,lambda=-0.125,lambda=-0.5,lambda=-0.75,lambda=-0.875
-4.4799999999999995,0.16612396557730458,0.15608061397995168,0.13077155410890262,0.11680283588867044
-4.47,0.16654637328437558,0.15758265479106973,0.1323570901185992,0.11827930565241597
-4.46,0.16696988349396888,0.15911006829726326,0.1339774849232575,0.11978979331465367
-4.45,0.16739445394502614,0.16066333122529464,0.13563371738351926,0.12133531691233178
-4.4399999999999995,0.16782004158010277,0.16224292949912117,0.13732680069862285,0.12291693308297043
-4.43,0.16824660254113485,0.16384935834685016,0.13905778382833922,0.1245357388238783
-4.42,0.1686740921655104,0.16548312240248908,0.14082775298250225,0.1261928733453148
-4.41,0.1691024649824564,0.16714473580182773,0.14263783318172182,0.12788952002334777
-4.3999999999999995,0.1695316747097546,0.1688347222717439,0.14448918989308335,0.12962690845855915
-4.39,0.16996167425079794,0.17055361521216728,0.14638303074485454,0.13140631664717642
-4.38,0.17039241569199967,0.17230195776988128,0.1483206073244594,0.13322907327167216
-4.37,0.17082385030056882,0.17408030290327892,0.15030321706422345,0.1350965601183667
-4.359999999999999,0.17125592852266297,0.17588921343712685,0.1523322052196674,0.13701021463011193
-4.35,0.171688599981932,0.17772926210632137,0.15440896694540032,0.13897153260270803
-4.34,0.1721218134784659,0.17960103158754942,0.15653494947397203,0.14098207103433671
-4.33,0.17255551698815777,0.18150511451768697,0.15871165440335247,0.1430434511379635
-4.32,0.1729896576624964,0.18344211349768902,0.1609406400990535,0.14515736152739991
-4.31,0.1734241818288006,0.18541264108063665,0.16322352421726216,0.1473255615885027
-4.3,0.17385903499090716,0.18741731974251458,0.16556198635573663,0.14954988504784464
